"lon" "lat"
-87.6297982 41.8781136
-112.0740373 33.4483771
-118.2436849 34.0522342
-106.6055534 35.0853336
-0.1277583 51.5073509
-75.1652215 39.9525839
-95.3698028 29.7604267
-77.4360481 37.5407246
-115.1398296 36.1699412
-80.1917902 25.7616798
-74.0059413 40.7127837
-75.6971931 45.4215296
-82.9987942 39.9611755
-77.0368707 38.9071923
-96.7969879 32.7766642
151.2092955 -33.8688197
-74.072092 4.7109886
-82.4571776 27.950575
-72.6850932 41.7637111
-80.8431267 35.2270869
-81.6943605 41.49932
-101.8551665 33.5778631
-122.3320708 47.6062095
139.6917064 35.6894875
-73.9973608 41.9270367
-78.6381787 35.7795897
-97.7430608 30.267153
-91.1403196 30.4582829
-121.8863286 37.3382082
-97.330053 37.6871761
-82.5514869 35.5950581
-76.6121893 39.2903848
-79.9414266 37.2709704
-74.1723667 40.735657
-104.990251 39.7392358
114.109497 22.396428
-75.4901833 40.6084305
-83.9207392 35.9606384
-157.7394444 21.4022222
-78.4678382 -0.1806532
-95.8453253 46.8171808
-82.3665956 23.1135925
-2.2426305 53.4807593
-81.3792365 28.5383355
-109.7124043 23.0798696
-86.8515279 21.161908
-94.5785667 39.0997265
12.4963655 41.9027835
-117.1610838 32.715738
-77.355413 25.0479835
-71.0588801 42.3600825
-81.5190053 41.0814447
-99.133208 19.4326077
34.7817676 32.0852999
-79.3831843 43.653226
-86.80249 33.5206608
174.7633315 -36.8484597
-84.1916069 39.7589478
2.3522219 48.856614
-86.2361744 12.1149926
-91.6656232 41.9778795
-111.8910474 40.7607793
-122.6764816 45.5230622
-81.8723084 26.640628
-90.0489801 35.1495343
-84.2807329 30.4382559
-157.8583333 21.3069444
-116.5452921 33.8302961
-80.1373174 26.1224386
-121.4943996 38.5815719
-79.9958864 40.4406248
-85.6680863 42.9633599
-3.188267 55.953252
-78.8783689 42.8864468
-86.7816016 36.1626638
-72.271908 21.7737654
-90.1994042 38.6270025
-110.926479 32.2217429
-108.5506486 39.0638705
-114.6276916 32.6926512
-86.158068 39.768403
